songNumber_x,songName_x,spanish_number,english_number,songNumber_y,songName_y
1,The Morning Breaks,1.0,1.0,1.0,Ya rompe el alba
2,The Spirit of God,2.0,2.0,2.0,El Espíritu de Dios
3,Now Let Us Rejoice,3.0,3.0,3.0,Ya regocijemos
4,Truth Eternal,,,,
5,High on the Mountain Top,4.0,5.0,4.0,Bandera de Sión
6,Redeemer of Israel,5.0,6.0,5.0,Oh Dios de Israel
7,"Israel, Israel, God Is Calling",6.0,7.0,6.0,"Israel, Jesús os llama"
8,Awake and Arise,,,,
9,"Come, Rejoice",,,,
10,"Come, Sing to the Lord",,,,
11,What Was Witnessed in the Heavens?,8.0,11.0,8.0,¿Qué es lo que vieron en las alturas?
12,’Twas Witnessed in the Morning Sky,,,,
13,An Angel from on High,9.0,13.0,9.0,Un ángel del Señor
14,Sweet Is the Peace the Gospel Brings,,,,
15,I Saw a Mighty Angel Fly,,,,
16,What Glorious Scenes Mine Eyes Behold,,,,
17,"Awake, Ye Saints of God, Awake!",,,,
18,The Voice of God Again Is Heard,,,,
19,"We Thank Thee, O God, for a Prophet",10.0,19.0,10.0,"Te damos, Señor, nuestras gracias"
20,"God of Power, God of Right",,,,
21,"Come, Listen to a Prophet’s Voice",11.0,21.0,11.0,Dios manda a profetas
22,We Listen to a Prophet’s Voice,,,,
23,We Ever Pray for Thee,12.0,23.0,12.0,Pedimos hoy por ti
24,God Bless Our Prophet Dear,13.0,24.0,13.0,"Bendice, Dios, a nuestro Profeta"
25,Now We’ll Sing with One Accord,,,,
26,Joseph Smith’s First Prayer,14.0,26.0,14.0,La oración del Profeta
26,Joseph Smith’s First Prayer,14.0,26.0,14.0,La oración del Profeta
27,Praise to the Man,15.0,27.0,15.0,Loor al Profeta
28,"Saints, Behold How Great Jehovah",,,,
29,A Poor Wayfaring Man of Grief,16.0,29.0,16.0,Un pobre forastero
30,"Come, Come, Ye Saints",17.0,30.0,17.0,"¡Oh, está todo bien!"
31,"O God, Our Help in Ages Past",,,,
32,The Happy Day at Last Has Come,20.0,32.0,20.0,Gozoso día llega ya
33,Our Mountain Home So Dear,,,,
34,O Ye Mountains High,18.0,34.0,18.0,"Oh Sión, santuario de libertad"
35,For the Strength of the Hills,19.0,35.0,19.0,Por Tus dones loor cantamos
36,"They, the Builders of the Nation",,,,
37,"The Wintry Day, Descending to Its Close",,,,
38,"Come, All Ye Saints of Zion",,,,
39,O Saints of Zion,,,,
40,"Arise, O Glorious Zion",,,,
41,Let Zion in Her Beauty Rise,,,,
42,Hail to the Brightness of Zion’s Glad Morning!,21.0,42.0,21.0,"¡Salve, Sión! Es tu día ilustre"
43,Zion Stands with Hills Surrounded,22.0,43.0,22.0,En las cumbres de los montes
44,"Beautiful Zion, Built Above",23.0,44.0,23.0,Bella Sión
45,Lead Me into Life Eternal,,,,
46,Glorious Things of Thee Are Spoken,,,,
47,We Will Sing of Zion,,,,
48,Glorious Things Are Sung of Zion,,,,
49,Adam-ondi-Ahman,,,,
50,"Come, Thou Glorious Day of Promise",29.0,50.0,29.0,"Ven, oh día prometido"
51,"Sons of Michael, He Approaches",,,,
52,The Day Dawn Is Breaking,24.0,52.0,24.0,El alba ya rompe
53,Let Earth’s Inhabitants Rejoice,,,,
54,"Behold, the Mountain of the Lord",,,,
55,"Lo, the Mighty God Appearing!",25.0,55.0,25.0,Jehová aparece en Su gloria
56,Softly Beams the Sacred Dawning,,,,
57,We’re Not Ashamed to Own Our Lord,,,,
58,"Come, Ye Children of the Lord",26.0,58.0,26.0,"Hijos del Señor, venid"
59,"Come, O Thou King of Kings",27.0,59.0,27.0,"Oh Rey de reyes, ven"
60,Battle Hymn of the Republic,28.0,60.0,28.0,Himno de batalla de la República
60,Battle Hymn of the Republic,28.0,60.0,28.0,Himno de batalla de la República
61,Raise Your Voices to the Lord,,,,
62,All Creatures of Our God and King,31.0,62.0,31.0,"Oh, creaciones del Señor"
63,Great King of Heaven,,,,
64,On This Day of Joy and Gladness,,,,
65,"Come, All Ye Saints Who Dwell on Earth",,,,
66,"Rejoice, the Lord Is King!",30.0,66.0,30.0,A Cristo Rey Jesús
